SrIH g
jatru gl
madaH ll
suKam lg
strI gg
nArI m
mfgI r
mADavIlatA mrBssjg vA
vAyuvegA msjsnjg vA
maRimaYjari ymnyjjg vA
mugDakam ymnnrrg vA
makarandikA ymnsjjg vA
CAyA ymnsttg vA
CAyA ymnsBtg vA
vallakI rBjtttg vA
SArNgI rsstjjg vA
SamBuH styBmmg vA
taruRIbadanenduH ssssssg vA
suvadanA mrBnyBlg vA
vfttam rjrjrjlg vA
gItikA sjjBrslg vA
SaSANkaracitam tBjBjBlg vA
madakalanI njnBsnlg vA
kanakalatA nnnnnnlg vA
mudrA nBBmsslg vA
dIpikASiKA Bnynnrlg vA
Basuram BBBBrslg vA
utpalamAlikA BrnBBrlg vA
sadratnamAlA mnsnmylg vA
supraBA mrBnttgg vA
suvaMSA mrBnssgg vA
SOBA ymnnttgg vA
gaRqakA rjrjrjgl vA
puwaBedam rssssslg vA
matteBavikrIqitam sBrnmylg vA
sragDarA mrBnyyy vA
sarasI njBjjjr vA
kaTAgatiH trBnjBr vA
vanamaYjari njjjjBr vA
mattavilAsinI BBBBBBr vA
narendram Brnnjjy vA
lalitavikramaH Brnrnrr vA
mattakrIqA mmtnnns vA
SreRI rjtnnns vA
taraNgaH rnrnrnr vA
padmasadma rsnjnBr vA
Badrakam Brnrnrng vA
matteBaH tByjsrng vA
aSvalalitam njBjBjBg vA
madanasAyakam nBjBjBjg vA
madirA BBBBBBBg vA
varatanuH mtynnnng vA
haMsI mmtnnnsg vA
lAlityam msjyBBng vA
dIpArcI msjsjsjg vA
lAlityam msrstjng vA
mahAsragDarA sjtnsrrg vA
mahAsragDarA sttnsrrg vA
adritanayA njBjBjBlg vA
hayalIlagatiH njBjBjjlg vA
vfndArakam jsjsyyylg vA
SaNKaH tjjjjjjlg vA
haMsagatiH njjjjjjlg vA
aSvalalitam njBjsjnlg vA
mayUragatiH BBBBBBBgg vA
puzpasamfdDA BmnBnnngg vA
capalagatiH BmsBnnnlg vA
mandakrIqA mmtnnnnlg vA
citrakam rnrnrnrlg vA
sundarikA ssBstjjlg vA
tanvI BtnsBBny vA
lalitalatA nnBnjnny vA
meGamAlA nnrrrrrr vA
mahAmadanasAyakaH nbjBjBjr vA
samBrAntA nyBtnnns vA
sKalitA BBBtnnns vA
kirIwam BBBBBBBB vA
haMsapadam BmsBnnny vA
veSyAprItiH mBymnBns vA
viBramagatiH msjsttbr vA
svEriRIkrIqanam rrrrrrrr vA
durmilam ssssssss vA
krOYcapadA BmsBnnnng vA
haMsapadA tyBBnnnng vA
capalam njjynnnng vA
haMsalayaH nnnnsBBBg vA
manteBaH mmmmmtymg vA
kalakaRQaH sjnjBnrng vA
BujaNgavijfmBitam mmtnnnrslg vA
vegavatI njnsBnnnlg vA
suDAkalaSaH njBjjjBjlg vA
vanalatikA nnnnnnnngg vA
makarandaH nynynnnngg vA
raYjanam BnjnsnnBgg vA
ApIqaH Bnnsmnnnlg vA
apavAhaH mnnnnnnsgg vA
BujaNgeritaM myntnnrslg vA
cewIgatih yyyyyyyylg vA
kamalA nnbnjnnngl vA
